pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
4rqq	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/04/14	Crystal structure of human Fab PGDM1400, a broadly reactive and potent HIV-1 neutralizing antibody	HOMO SAPIENS	homo sapiens	homo sapiens		Julien, J.-P., Wilson, I.A.	3.1	X-RAY DIFFRACTION	0.253	0.221	False	True	unknown	IGKV2	Kappa	None	None	None	None	None
4rqq	D	C	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/04/14	Crystal structure of human Fab PGDM1400, a broadly reactive and potent HIV-1 neutralizing antibody	HOMO SAPIENS	homo sapiens	homo sapiens		Julien, J.-P., Wilson, I.A.	3.1	X-RAY DIFFRACTION	0.253	0.221	False	True	unknown	IGKV2	Kappa	None	None	None	None	None
4rqq	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/04/14	Crystal structure of human Fab PGDM1400, a broadly reactive and potent HIV-1 neutralizing antibody	HOMO SAPIENS	homo sapiens	homo sapiens		Julien, J.-P., Wilson, I.A.	3.1	X-RAY DIFFRACTION	0.253	0.221	False	True	unknown	IGKV2	Kappa	None	None	None	None	None
3u1s	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	09/30/11	Crystal structure of human Fab PGT145, a broadly reactive and potent HIV-1 neutralizing antibody	HOMO SAPIENS	homo sapiens	homo sapiens		Julien, J.-P., Diwanji, D., Burton, D.R., Wilson, I.A.	2.3	X-RAY DIFFRACTION	0.228	0.195	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None
4nwu	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/06/13	Crystal structure of APE1551, an anti-human NGF Fab with a nine amino acid insertion in CDR H1	HOMO SAPIENS	homo sapiens	homo sapiens		Verdino, P., Stanfield, R.L., Wilson, I.A.	1.602	X-RAY DIFFRACTION	0.198	0.166	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
8ezl	H	H	0	A	protein	NA	25 kda ookinete surface antigen	IMMUNE SYSTEM	08/16/23	Pfs25 in complex with transmission-reducing antibody AS01-50	Plasmodium falciparum NF54	plasmodium falciparum nf54		plasmodium falciparum nf54	Shukla, N., Tang, W.K., Tolia, N.H.	2.3	X-RAY DIFFRACTION	0.255	0.216	True	True	unknown	unknown	unknown	None	None	None	None	None
6urh	H	L	0	C	protein	NA	hcv envelope glycoprotein e2	VIRAL PROTEIN/IMMUNE SYSTEM	10/23/19	Crystal structure of broadly neutralizing antibody AR3X in complex with Hepatitis C virus envelope glycoprotein E2 ectodomain	HEPACIVIRUS C; HOMO SAPIENS	homo sapiens	homo sapiens	hepacivirus c	Flyak, A.I., Bjorkman, P.J.	2.2	X-RAY DIFFRACTION	0.233	0.187	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
8gbv	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	06/07/23	Crystal structure of PC39-17A, an anti-HIV broadly neutralizing antibody	Homo sapiens	homo sapiens	homo sapiens		Murrell, S., Omorodion, O., Wilson, I.A.	2.08	X-RAY DIFFRACTION	0.230	0.193	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
8gbv	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	06/07/23	Crystal structure of PC39-17A, an anti-HIV broadly neutralizing antibody	Homo sapiens	homo sapiens	homo sapiens		Murrell, S., Omorodion, O., Wilson, I.A.	2.08	X-RAY DIFFRACTION	0.230	0.193	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
4dqo	H	L	0	C	protein	NA	1fd6-v1v2 scaffold zm109 hiv-1 strain	IMMUNE SYSTEM	02/16/12	Crystal Structure of PG16 Fab in Complex with V1V2 Region from HIV-1 strain ZM109	HOMO SAPIENS; HUMAN IMMUNODEFICIENCY VIRUS 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Pancera, M., McLellan, J.S., Kwong, P.D.	2.438	X-RAY DIFFRACTION	0.230	0.201	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
4uv4	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/04/14	Crystal structure of anti-FPR Fpro0165 Fab fragment	HOMO SAPIENS	homo sapiens	homo sapiens		Douthwaite, J.A., Sridharan, S., Huntington, C., Marwood, R., Hammersley, J., Hakulinen, J.K., Ek, M., Sjogren, T., Rider, D., Privezentzev, C., Seaman, J.C., Cariuk, P., Knights, V., Young, J., Wilkinson, T., Sleeman, M., Finch, D.K., Lowe, D.C., Vaughan, T.J.	3.08	X-RAY DIFFRACTION	0.2804	0.2427	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None
8sir	H	L	0	A	protein	NA	spike protein s1	IMMUNE SYSTEM	03/13/24	Crystal structure of SARS-CoV-2 spike receptor-binding domain in complex with broadly neutralizing antibody CC25.54 Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, H., Wilson, I.A.	3.3	X-RAY DIFFRACTION	0.236	0.208	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
4nug	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/03/13	Crystal structure of HIV-1 broadly neutralizing antibody PGT151	HOMO SAPIENS	homo sapiens	homo sapiens		Blattner, C., Wilson, I.A.	1.8617	X-RAY DIFFRACTION	0.207	0.159	False	True	IGHV3	IGKV2D	Kappa	None	None	None	None	None
8sgg	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/17/24	Crystal structure of Cy137D09, a monoclonal antibody isolated from macaques immunized with an Epstein-Barr virus glycoprotein 350 (gp350) nanoparticle vaccine	Macaca fascicularis	macaca fascicularis	macaca fascicularis		Joyce, M.G., Jensen, J.L., Chen, W.H., Kanekiyo, M.	2.03	X-RAY DIFFRACTION	0.247	0.191	False	True	IGHV4	IGLV5	Lambda	None	None	None	None	None
8sgg	C	D	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/17/24	Crystal structure of Cy137D09, a monoclonal antibody isolated from macaques immunized with an Epstein-Barr virus glycoprotein 350 (gp350) nanoparticle vaccine	Macaca fascicularis	macaca fascicularis	macaca fascicularis		Joyce, M.G., Jensen, J.L., Chen, W.H., Kanekiyo, M.	2.03	X-RAY DIFFRACTION	0.247	0.191	False	True	IGHV4	IGLV5	Lambda	None	None	None	None	None
4fp8	I	M	0	B	protein	NA	hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	06/21/12	Crystal structure of broadly neutralizing antibody C05 bound to H3 influenza hemagglutinin, HA1 subunit	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	2.947	X-RAY DIFFRACTION	0.241	0.212	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
