pdb_id,interface_chain_id_1,interface_chain_id_2,interface_chain_type_1,interface_chain_type_2
8tuz-assembly1,A,C,protein,protein
8tuz-assembly1,B,C,protein,protein
7xld-assembly1,A,B,protein,protein
8xnh-assembly1,A,F,protein,protein
8bf4-assembly1,A,B,protein,protein
8up2-assembly1,A,C,protein,protein
8up2-assembly1,B,C,protein,protein
8pyr-assembly1,A,D,protein,protein
8pyr-assembly1,C,D,protein,protein
8pih-assembly1,A,B,protein,protein
8fdo-assembly1,A,C,protein,protein
8fdd-assembly1,A,C,protein,protein
8fdd-assembly1,B,C,protein,protein
7x8p-assembly1,A,C,protein,protein
7x8p-assembly1,A,B,protein,protein
8h63-assembly1,A,B,protein,protein
8ux6-assembly1,A,F,protein,protein
8ux6-assembly1,D,F,protein,protein
8w90-assembly1,A,B,protein,protein
8e0e-assembly1,A,B,protein,protein
8hxq-assembly1,A,B,protein,protein
8ido-assembly1,A,D,protein,protein
8be1-assembly1,A,C,protein,protein
7txw-assembly1,A,C,protein,protein
7txw-assembly1,B,C,protein,protein
8ahn-assembly1,A,B,protein,protein
8ahn-assembly1,A,C,protein,protein
7yv1-assembly1,A,B,protein,protein
7yv1-assembly1,A,C,protein,protein
8a44-assembly1,A,C,protein,protein
8a44-assembly1,A,D,protein,protein
8tmz-assembly1,A,C,protein,protein
8tmz-assembly1,B,C,protein,protein
8fas-assembly1,A,C,protein,protein
8fas-assembly1,B,C,protein,protein
7ua2-assembly1,A,C,protein,protein
8qf4-assembly1,A,B,protein,protein
8gye-assembly1,A,E,protein,protein
8gye-assembly1,A,F,protein,protein
8gy5-assembly1,B,C,protein,protein
9g2g-assembly1,A,C,protein,protein
8g4p-assembly1,A,E,protein,protein
8g4p-assembly1,B,E,protein,protein
8fbw-assembly1,A,C,protein,protein
8fbw-assembly1,B,C,protein,protein
8ath-assembly1,A,E,protein,protein
8ath-assembly1,A,F,protein,protein
9jbq-assembly1,A,C,protein,protein
8pmz-assembly1,A,B,protein,protein
7z2m-assembly1,A,J,protein,protein
8f60-assembly1,A,C,protein,protein
8f60-assembly1,B,C,protein,protein
8evd-assembly1,A,C,protein,protein
7st5-assembly1,B,F,protein,protein
8byu-assembly1,A,C,protein,protein
8byu-assembly1,B,C,protein,protein
